id,date_utc,phase,hypothesis,dataset,split,params,n_obs,result,decision,reason
E0001,2026-09-17T23:28:46+00:00,phase3,PRE preopen fade to VWAP,NAS100,TRAIN,"grid 81 combos, centre {'level': 2.0, 'stop_sigma': 1.5, 'time_stop': 180, 'window': (450, 570)}",1933,"net exp -0.140 pts, sharpe -0.5082394639136993",sweep,focused after pure-drift map
E0002,2026-09-17T23:29:23+00:00,phase3,PRE preopen fade to VWAP,SPX500,TRAIN,"grid 81 combos, centre {'level': 2.0, 'stop_sigma': 1.5, 'time_stop': 180, 'window': (450, 570)}",1880,"net exp -0.449 pts, sharpe -2.4026928603036453",sweep,focused after pure-drift map
E0003,2026-09-17T23:32:09+00:00,phase3b,PRE-open fade full grid (wide stops),NAS100,TRAIN,162 combos,1913,median gross sharpe 1.60; share combos sharpe>0 1.00,sweep,plateau check
E0004,2026-09-17T23:33:24+00:00,phase3b,PRE-open fade full grid (wide stops),SPX500,TRAIN,162 combos,1882,median gross sharpe 1.72; share combos sharpe>0 1.00,sweep,plateau check
E0005,2026-09-17T23:35:55+00:00,phase1,Cartographie touches L1-L3: P(retour VWAP) par heure/pente/touch/vitesse/dw,NAS100+SPX500,TRAIN,5 niveaux x 2 cotes x ~10 conditions,396k,Reversion forte 08-10h ET et soir; négative 13-17h; monotone en touch_no et vitesse,garde,base de phases suivantes
E0006,2026-09-17T23:35:55+00:00,phase2,Deconfound par fenêtre: effets slope/touch/speed persistent dans fenêtre matin,NAS100+SPX500,TRAIN,5 fenêtres,~20k/fenêtre,effets réels intra-fenêtre; soirée σ=0.4-0.9pt -> morte en coûts,rejet soirée,coûts >50% du reward L2
E0007,2026-09-17T23:35:55+00:00,phase2bis,Dérive PURE du prix après touch (sans stop/cible): où le prix revient-il vraiment?,NAS100+SPX500,TRAIN,fenêtres x niveaux x horizons,~350k,Seul pré-open 08-0930 montre dérive +0.2..0.5σ monotone sur les 2 instruments; après-midi continuation; soir continuation,garde pré-open,clé: P(retour) élevée ailleurs = VWAP qui rattrape le prix
E0008,2026-09-17T23:35:55+00:00,phase3,C1 fade matin 0930-1130 L2 stop1σ cible VWAP mkt-entry,NAS100,TRAIN,level/stop/ts/window,4723,"brut +0.05pt, net -0.58 a -0.83pt",rejet,edge brut ~0 après conversion économique
E0009,2026-09-17T23:35:55+00:00,phase3,C1-limit: entrée limite à la bande (guard overshoot 0.1σ),NAS100,TRAIN,4 variantes,3515,brut -0.22pt: PIRE (sélection adverse + stop même bougie),rejet,limit ne sauve pas le fade naïf
E0010,2026-09-17T23:35:55+00:00,phase3,C2 fade pré-open stops serrés (1-1.5σ) cible VWAP,NAS100+SPX500,TRAIN,108 combos,1900,"net négatif, instable par année",rejet design,stop serré tronque une dérive lente
E0011,2026-09-17T23:35:55+00:00,phase3,PRE-FADE stops larges: L2 0730-0930 stop2.5σ VWAP ts180,NAS100+SPX500,TRAIN,162 combos larges,1750,100% combos Sharpe brut >0 (méd 1.6-1.7); 87-100% >=8/10 années pos; net TRAIN-era ~0 (coûts fixes vs σ de l'époque),garde: candidat principal,"plateau massif, pas un pic"
E0012,2026-09-17T23:35:55+00:00,phase3,Placebo fenêtres: même design hors pré-open,NAS100+SPX500,TRAIN,6 fenêtres,>1000/fenêtre,pré-open +0.21σ/+0.16σ >> autres (0-0.12σ); après-midi négatif,confirme spécificité temporelle,le phénomène est localisé
E0013,2026-09-17T23:35:55+00:00,phase3,Asymétrie long/short pré-open,NAS100+SPX500,TRAIN,2 cotes,900,NAS: long>short; SPX: short>long — inversé,garde règle symétrique,asymétries non cohérentes -> pas de fit par instrument
E0014,2026-09-17T23:35:55+00:00,phase3,"Ablation filtres: touch<=2, slope, speed, dw, overshoot",NAS100+SPX500,TRAIN,11 variantes,700,slow-arrival améliore les 2 (shp 1.9->3.2 / 1.1->2.5); dw-opp aide; touch/overshoot incohérents,garde slow comme variante F,1 filtre max (pénalité complexité)
